ELSI Export,,,,,,,,,,,
,,,,,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,,,,,
,,,,,,,,,,,
This is a Public School based table with the following filters applied: State(s) (All Years): OHIO,,,,,,,,,,,
,,,,,,,,,,,
School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2018-19,County Name [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
FAYETTEVILLE-PERRY MIDDLE SCHOOL,Ohio,Fayetteville-Perry Local,Brown County,45118,Fayetteville,185,122,60,182,8,23.13
FEDERAL HOCKING HIGH SCHOOL,Ohio,Federal Hocking Local,Athens County,45778,Stewart,266,–,–,–,16,16.63
FEDERAL HOCKING MIDDLE SCHOOL,Ohio,Federal Hocking Local,Athens County,45778,Stewart,170,–,–,–,12,14.17
FELICITY-FRANKLIN LOCAL  ELEMENTARY SCHOOL,Ohio,Felicity-Franklin Local,Clermont County,45120,Felicity,268,135,19,154,17.4,15.4
FELICITY-FRANKLIN LOCAL  HIGH SCHOOL,Ohio,Felicity-Franklin Local,Clermont County,45120,Felicity,212,76,15,91,14.77,14.35
FELICITY-FRANKLIN LOCAL MIDDLE SCHOOL,Ohio,Felicity-Franklin Local,Clermont County,45120,Felicity,276,141,20,161,16.86,16.37
FERGUSON HALL FRESHMAN SCHOOL,OHIO,Beavercreek City,Greene County,45434,Beavercreek,592,51,17,68,28.91,20.48
FERNWAY ELEMENTARY SCHOOL,Ohio,Shaker Heights City,Cuyahoga County,44120,Shaker Heights,290,–,–,–,17.8,16.29
FIELD HIGH SCHOOL,Ohio,Field Local,Portage County,44260,Mogadore,497,94,20,114,30.13,16.5
FIELD MIDDLE SCHOOL,Ohio,Field Local,Portage County,44260,Mogadore,477,131,27,158,26.89,17.74
FINDLAY CITY SCHOOLS PRESCHOOL,Ohio,Findlay City,Hancock County,45840,Findlay,222,69,16,85,5,44.4
FINDLAY DIGITAL ACADEMY,Ohio,Findlay Digital Academy,Hancock County,45840,Findlay,159,–,–,–,3,53
FINDLAY HIGH SCHOOL,Ohio,Findlay City,Hancock County,45840,Findlay,1908,347,69,416,95.72,19.93
FINDLEY COMMUNITY LEARNING CENTER,Ohio,Akron City,Summit County,44310,Akron,564,–,–,–,38.2,14.76
FINLAND ELEMENTARY SCHOOL,Ohio,South-Western City,Franklin County,43223,Columbus,458,352,41,393,21.55,21.25
FINLAND MIDDLE SCHOOL,Ohio,South-Western City,Franklin County,43223,Columbus,696,488,56,544,34.74,20.03
FINNEYTOWN SECONDARY CAMPUS,Ohio,Finneytown Local,Hamilton County,45231,Cincinnati,788,378,57,435,48.92,16.11
FIRELANDS ELEMENTARY SCHOOL,Ohio,Firelands Local,Lorain County,44074,Oberlin,724,241,32,273,37.17,19.48
FIRELANDS HIGH SCHOOL,Ohio,Firelands Local,Lorain County,44074,Oberlin,494,93,24,117,32.33,15.28
FIRESTONE HIGH SCHOOL,Ohio,Akron City,Summit County,44313,Akron,1273,–,–,–,76.65,16.61
FIRESTONE PARK ELEMENTARY SCHOOL,Ohio,Akron City,Summit County,44301,Akron,333,–,–,–,21.1,15.78
FIRST STEP PRESCHOOL,Ohio,Parma City,Cuyahoga County,44130,Parma,202,–,–,–,15,13.47
FISHCREEK ELEMENTARY SCHOOL,Ohio,Stow-Munroe Falls City School District,Summit County,44224,Stow,334,55,10,65,15.5,21.55
FITCH HIGH SCHOOL,Ohio,Austintown Local Schools,Mahoning County,44515,Youngstown,1361,576,105,681,83.68,16.26
FIVE POINTS,Ohio,Springboro Community City,Warren County,45458,Centerville,1020,–,–,–,49.33,20.68
FLAT RIDGE ELEMENTARY SCHOOL,Ohio,East Holmes Local,Holmes County,44617,Charm,104,4,19,23,5.2,20
FLEX HIGH SCHOOL,OHIO,Flex High School,Franklin County,43215,Columbus,239,–,–,–,6.5,36.77
FOCUS LEARNING ACADEMY OF NORTHERN COLUMBUS,Ohio,Focus Learning Academy of Northern Columbus,Franklin County,43229,Columbus,472,–,–,–,25,18.88
FOCUS LEARNING ACADEMY OF SOUTHEASTERN COLUMBUS,Ohio,Focus Learning Academy of Southeastern Columbus,Franklin County,43232,Columbus,206,–,–,–,7.67,26.86
FOCUS LEARNING ACADEMY OF SOUTHWEST COLUMBUS,Ohio,Focus Learning Academy of Southwest Columbus,Franklin County,43207,Columbus,249,–,–,–,7.08,35.17
FOCUS NORTH HIGH SCHOOL,Ohio,Focus North High School,Franklin County,43229,Columbus,176,–,–,–,10.42,16.89
FOREST ELEMENTARY SCHOOL,Ohio,North Olmsted City,Cuyahoga County,44070,North Olmsted,331,102,24,126,18.7,17.7
FOREST ELEMENTARY SCHOOL,Ohio,Troy City,Miami County,45373,Troy,256,111,24,135,15,17.07
FOREST HILL COMMUNITY LEARNING CENTER,Ohio,Akron City,Summit County,44310,Akron,376,–,–,–,25.2,14.92
FOREST PARK ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43229,Columbus,398,–,–,–,20,19.9
FORESTLAWN EARLY LEARNING CENTER,Ohio,Sheffield-Sheffield Lake City,Lorain County,44054,Sheffield Lake,127,41,14,55,9.67,13.13
FORT FRYE HIGH SCHOOL,Ohio,Fort Frye Local,Washington County,45715,Beverly,426,144,56,200,22.7,18.77
FORT HAYES ARTS AND ACADEMIC HS,Ohio,Columbus City School District,Franklin County,43215,Columbus,702,–,–,–,38,18.47
FORT HAYES CAREER CENTER,Ohio,Columbus City School District,Franklin County,43215,Columbus,87,–,–,–,29,3
FORT ISLAND PRIMARY ELEMENTARY SCHOOL,Ohio,Copley-Fairlawn City,Summit County,44333,Fairlawn,353,61,13,74,19.5,18.1
FORT JENNINGS ELEMENTARY SCHOOL,Ohio,Jennings Local,Putnam County,45844,Fort Jennings,203,41,16,57,14.15,14.35
FORT JENNINGS HIGH SCHOOL,Ohio,Jennings Local,Putnam County,45844,Fort Jennings,173,–,–,–,10.59,16.34
FORT LORAMIE ELEMENTARY SCHOOL,Ohio,Fort Loramie Local,Shelby County,45845,Fort Loramie,410,16,13,29,28.44,14.42
FORT LORAMIE JUNIOR-SENIOR HIGH SCHOOL,Ohio,Fort Loramie Local,Shelby County,45845,Fort Loramie,371,7,6,13,20.06,18.49
FORT MEIGS ELEMENTARY SCHOOL,Ohio,Perrysburg Exempted Village,Wood County,43551,Perrysburg,565,35,11,46,25.5,22.16
FORT MIAMI ELEMENTARY SCHOOL,Ohio,Maumee City,Lucas County,43537,Maumee,332,99,27,126,17.4,19.08
FORT RECOVERY ELEMENTARY SCHOOL,Ohio,Fort Recovery Local,Mercer County,45846,Fort Recovery,493,52,7,59,27.97,17.63
FORT RECOVERY HIGH SCHOOL,Ohio,Fort Recovery Local,Mercer County,45846,Fort Recovery,300,17,0,17,15.23,19.7
FORT RECOVERY MIDDLE SCHOOL,Ohio,Fort Recovery Local,Mercer County,45846,Fort Recovery,226,–,–,–,9.75,23.18
FOSTORIA ELEMENTARY SCHOOL,Ohio,Fostoria City,Wood County,44830,Fostoria,581,394,46,440,29.8,19.5
FOSTORIA JUNIOR/SENIOR HIGH SCHOOL,Ohio,Fostoria City,Wood County,44830,Fostoria,740,436,73,509,44,16.82
FOUNDATION ACADEMY,Ohio,Foundation Academy,Richland County,44906,Mansfield,404,–,–,–,24,16.83
FOUR COUNTY CAREER CENTER,Ohio,Four County Career Center,Henry County,43502,Archbold,0,–,–,–,82,0
FOUSE ELEMENTARY SCHOOL,Ohio,Westerville City,Delaware County,43082,Westerville,638,149,19,168,27.8,22.95
FOXFIRE HIGH SCHOOL,Ohio,Foxfire High School,Muskingum County,43701,Zanesville,365,–,–,–,14.82,24.63
FOXFIRE INTERMEDIATE SCHOOL,Ohio,Foxfire Intermediate School,Muskingum County,43701,Zanesville,41,–,–,–,3.5,11.71
FRANK ELEMENTARY SCHOOL,Ohio,Perrysburg Exempted Village,Wood County,43551,Perrysburg,474,34,1,35,22,21.55
FRANK JACINTO ELEMENTARY,Ohio,Lorain City,Lorain County,44052,Lorain,305,–,–,–,19.1,15.97
FRANK NICHOLAS ELEMENTARY SCHOOL,Ohio,West Carrollton City,Montgomery County,45439,Dayton,168,103,23,126,11.6,14.48
FRANKLIN D. ROOSEVELT,Ohio,Cleveland Municipal,Cuyahoga County,44108,Cleveland,481,–,–,–,31,15.52
FRANKLIN ELEMENTARY SCHOOL,Ohio,Massillon City,Stark County,44646,Massillon,374,–,–,–,26,14.38
FRANKLIN ELEMENTARY SCHOOL,Ohio,Wadsworth City,Medina County,44281,Wadsworth,232,52,15,67,11.31,20.51
FRANKLIN ELEMENTARY SCHOOL,Ohio,Delphos City,Allen County,45833,Delphos,326,127,41,168,25,13.04
FRANKLIN HEIGHTS HIGH SCHOOL,Ohio,South-Western City,Franklin County,43204,Columbus,1349,829,107,936,71.25,18.93
FRANKLIN HIGH SCHOOL,Ohio,Franklin City,Warren County,45005,Franklin,791,253,50,303,39,20.28
FRANKLIN JUNIOR HIGH SCHOOL,Ohio,Franklin City,Warren County,45005,Franklin,487,185,37,222,26,18.73
FRANKLIN LOCAL COMMUNITY SCHOOL,Ohio,Franklin Local Community School,Perry County,43777,Roseville,48,–,–,–,7.3,6.58
FRANKLIN MONROE ELEMENTARY SCHOOL,Ohio,Franklin Monroe Local,Darke County,45304,Arcanum,340,–,–,–,18.25,18.63
FRANKLIN MONROE HIGH SCHOOL,Ohio,Franklin Monroe Local,Darke County,45304,Arcanum,325,101,26,127,18.5,17.57
FRANKLIN TWP ELEMENTARY SCHOOL,Ohio,Triway Local,Wayne County,44691,Wooster,107,12,18,30,9,11.89
FRANKLIN WOODS INTERMEDIATE SCHOOL,Ohio,South-Western City,Franklin County,43223,Columbus,725,511,58,569,36.68,19.77
FRANKLINTON PREPARATORY ACADEMY,Ohio,Franklinton Preparatory Academy,Franklin County,43222,Columbus,193,–,–,–,10.1,19.11
FRAZER ELEMENTARY SCHOOL,Ohio,Plain Local,Stark County,44709,Canton,345,106,23,129,16.5,20.91
FRAZEYSBURG ELEMENTARY SCHOOL,Ohio,Tri-Valley Local,Muskingum County,43822,Frazeysburg,307,132,26,158,15.6,19.68
FREDERICK DOUGLASS HIGH SCHOOL,Ohio,Frederick Douglass High School,Cuyahoga County,44109,Cleveland,52,–,–,–,2,26
FREDERICK DOUGLASS SCHOOL,Ohio,Cincinnati Public Schools,Hamilton County,45206,Cincinnati,278,–,–,–,26.2,10.61
FREDERICKSBURG ELEMENTARY SCHOOL,Ohio,Southeast Local,Wayne County,44627,Fredericksburg,136,36,14,50,9.4,14.47
FREDERICKTOWN ELEMENTARY SCHOOL,Ohio,Fredericktown Local,Knox County,43019,Fredericktown,551,292,94,386,26.97,20.43
FREDERICKTOWN HIGH SCHOOL,Ohio,Fredericktown Local,Knox County,43019,Fredericktown,321,–,–,–,19.48,16.48
FREDERICKTOWN MIDDLE SCHOOL,Ohio,Fredericktown Local,Knox County,43019,Fredericktown,324,–,–,–,9.46,34.25
FREEDOM ELEMENTARY SCHOOL,Ohio,Lima City,Allen County,45804,Lima,227,–,–,–,18,12.61
FREEDOM ELEMENTARY SCHOOL,Ohio,Lakota Local,Butler County,45069,West Chester,602,154,26,180,24.5,24.57
FREEDOM TRAIL ELEMENTARY,Ohio,Olentangy Local,Delaware County,43035,Lewis,638,16,10,26,30.64,20.82
FREMONT MIDDLE SCHOOL,Ohio,Fremont City,Sandusky County,43420,Fremont,852,507,68,575,54.8,15.55
FREMONT ROSS HIGH SCHOOL,Ohio,Fremont City,Sandusky County,43420,Fremont,1091,451,102,553,58.2,18.75
FRENCH RUN ELEMENTARY SCHOOL,Ohio,Reynoldsburg City,Franklin County,43068,Reynoldsburg,502,224,43,267,21.5,23.35
FRONTIER HIGH/MIDDLE SCHOOL,Ohio,Frontier Local,Washington County,45767,New Matamoras,175,112,15,127,13.34,13.12
FRONTIER MIDDLE SCHOOL,Ohio,Frontier Local,Washington County,45767,New,102,–,–,–,4.66,21.89
FULTON ELEMENTARY SCHOOL,Ohio,Springfield City School District,Clark County,45506,Springfield,347,–,–,–,27,12.85
FURRY ELEMENTARY SCHOOL,Ohio,Perkins Local,Erie County,44870,Sandusky,458,106,13,119,25,18.32
G. TYREE LEARNING SCHOOL,OHIO,Columbus City School District,Franklin County,43201,Columbus,0,–,–,–,0,†
GABLES ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43235,Columbus,421,–,–,–,22,19.14
GAHANNA EAST MIDDLE SCHOOL,Ohio,Gahanna-Jefferson City,Franklin County,43230,Gahanna,521,49,16,65,29.17,17.86
GAHANNA SOUTH MIDDLE SCHOOL,Ohio,Gahanna-Jefferson City,Franklin County,43230,Gahanna,614,86,39,125,32.99,18.61
GAHANNA WEST MIDDLE SCHOOL,Ohio,Gahanna-Jefferson City,Franklin County,43230,Gahanna,640,202,61,263,35.48,18.04
GAHANNA- JEFFERSON  CLARK HALL,OHIO,Gahanna-Jefferson City,Franklin County,43230,Gahanna,203,–,–,–,8,25.38
GALION HIGH SCHOOL,Ohio,Galion City,Crawford County,44833,Galion,411,205,64,269,19.62,20.95
GALION MIDDLE SCHOOL,Ohio,Galion City,Crawford County,44833,Galion,432,217,52,269,22.36,19.32
GALLIA ACADEMY HIGH SCHOOL,Ohio,Gallipolis City,Gallia County,45631,Gallipolis,536,177,29,206,65.2,8.22
GALLIA ACADEMY MIDDLE SCHOOL,Ohio,Gallipolis City,Gallia County,45631,Gallipolis,423,198,15,213,28.48,14.85
GALLOWAY RIDGE INTERMEDIATE SCHOOL,Ohio,South-Western City,Franklin County,43119,Galloway,768,481,73,554,41.18,18.65
GARAWAY HIGH SCHOOL,Ohio,Garaway Local,Tuscarawas County,44681,Sugarcreek,519,89,43,132,29.25,17.74
GARFIELD ELEMENTARY SCHOOL,Ohio,Cleveland Municipal,Cuyahoga County,44111,Cleveland,553,–,–,–,30.02,18.42
GARFIELD ELEMENTARY SCHOOL,Ohio,Heath City,Licking County,43056,Heath,394,143,26,169,20.5,19.22
GARFIELD ELEMENTARY SCHOOL,Ohio,Medina City SD,Medina County,44256,Medina,251,133,10,143,18.82,13.34
GARFIELD ELEMENTARY SCHOOL,Ohio,Wellsville Local,Columbiana County,43968,Wellsville,234,–,–,–,14,16.71
GARFIELD ELEMENTARY SCHOOL,Ohio,Toledo City,Lucas County,43605,Toledo,403,–,–,–,27,14.93
GARFIELD ELEMENTARY SCHOOL,Ohio,Lorain City,Lorain County,44055,Lorain,255,–,–,–,19,13.42
GARFIELD HEIGHTS HIGH SCHOOL,Ohio,Garfield Heights City Schools,Cuyahoga County,44125,Garfield Heights,1221,638,77,715,69.5,17.57
GARFIELD HEIGHTS MIDDLE SCHOOL,Ohio,Garfield Heights City Schools,Cuyahoga County,44125,Garfield Heights,811,–,–,–,55,14.75
GARFIELD MIDDLE SCHOOL,Ohio,Lakewood City,Cuyahoga County,44107,Lakewood,530,252,29,281,33.83,15.67
GARFIELD MIDDLE SCHOOL,Ohio,Hamilton City,Butler County,45011,Hamilton,863,576,66,642,46.86,18.42
GARRETT MORGAN SCHOOL OF ENGINEERING & INNOVATION,Ohio,Cleveland Municipal,Cuyahoga County,44113,Cleveland,264,–,–,–,25,10.56
GATES MILLS ELEMENTARY SCHOOL,Ohio,Mayfield City,Cuyahoga County,44040,Gates Mills,128,24,3,27,6,21.33
GATEWAY ELEMENTARY SCHOOL,Ohio,Conneaut Area City,Ashtabula County,44030,Conneaut,390,208,28,236,19,20.53
GATEWAY MIDDLE SCHOOL,Ohio,Maumee City,Lucas County,43537,Maumee,548,150,42,192,36.32,15.09
GEARITY PROFESSIONAL DEVELOPMENT SCHOOL,Ohio,Cleveland Heights-University Heights City,Cuyahoga County,44118,University Hts,366,–,–,–,28,13.07
GEM CITY CAREER PREP HIGH SCHOOL,Ohio,Life Skills Center of Dayton,Montgomery County,45405,Dayton,143,–,–,–,4,35.75
GENERAL JOHNNIE WILSON MIDDLE SCHOOL,Ohio,Lorain City,Lorain County,44052,Lorain,449,–,–,–,29.25,15.35
GENERAL ROSECRANS ELEMENTARY,Ohio,Big Walnut Local,Delaware County,43074,Sunbury,503,37,8,45,26,19.35
GENERAL SHERMAN JUNIOR HIGH SCHOOL,Ohio,Lancaster City,Fairfield County,43130,Lancaster,695,325,46,371,37.4,18.58
GENEVA HIGH SCHOOL,Ohio,Geneva Area City,Ashtabula County,44041,Geneva,730,319,57,376,33.25,21.95
GENEVA MIDDLE SCHOOL,Ohio,Geneva Area City,Ashtabula County,44041,Geneva,585,287,58,345,26,22.5
GENEVA PLATT R. SPENCER ELEMENTARY SCHOOL,Ohio,Geneva Area City,Ashtabula County,44041,Geneva,459,–,–,–,20.75,22.12
GENOA AREA HIGH SCHOOL,Ohio,Genoa Area Local,Ottawa County,43430,Genoa,385,184,50,234,19,20.26
GENOA AREA MIDDLE SCHOOL,Ohio,Genoa Area Local,Ottawa County,43430,Genoa,312,–,–,–,17,18.35
GENOA ELEMENTARY,Ohio,Genoa Area Local,Ottawa County,43430,Genoa,638,147,35,182,32,19.94
GENOA ELEMENTARY SCHOOL,Ohio,Perry Local,Stark County,44646,Massillon,341,175,38,213,20.2,16.88
GENOA MIDDLE SCHOOL,Ohio,Westerville City,Delaware County,43082,Westerville,892,182,21,203,50,17.84
GEO G DODGE ELEMENTARY SCHOOL,Ohio,Twinsburg City,Summit County,44087,Twinsburg,952,135,43,178,48,19.83
GEORGE H GERKE ELEMENTARY SCHOOL,Ohio,Franklin City,Warren County,45005,Franklin,261,138,19,157,14,18.64
GEORGE HAYS-JENNIE PORTER SCHOOL,Ohio,Cincinnati Public Schools,Hamilton County,45203,Cincinnati,304,–,–,–,24,12.67
GEORGE MCDOWELL-EXCHANGE MIDDLE SCHOOL,Ohio,Logan Elm Local,Pickaway County,43113,Circleville,265,93,15,108,20,13.25
GEORGE V. VOINOVICH HIGH SCHOOL,Ohio,George V. Voinovich High School,Cuyahoga County,44109,Cleveland,43,–,–,–,2,21.5
GEORGE WASHINGTON CARVER,Ohio,Cleveland Municipal,Cuyahoga County,44103,Cleveland,408,–,–,–,21,19.43
GEORGE WASHINGTON ELEMENTARY SCHOOL,Ohio,Marion City,Marion County,43302,Marion,436,–,–,–,26.1,16.7
GEORGETOWN ELEMENTARY SCHOOL,Ohio,Georgetown Exempted Village,Brown County,45121,Georgetown,583,276,55,331,27,21.59
GEORGETOWN JR/SR HIGH SCHOOL,Ohio,Georgetown Exempted Village,Brown County,45121,Georgetown,490,206,46,252,27.56,17.78
GEORGIAN HEIGHTS ALT ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43228,Columbus,512,–,–,–,28,18.29
GIBBS ELEMENTARY SCHOOL,Ohio,Canton City,Stark County,44705,Canton,256,–,–,–,17.5,14.63
GIBSONBURG HIGH SCHOOL,Ohio,Gibsonburg Exempted Village,Sandusky County,43431,Gibsonburg,254,108,62,170,20,12.7
GIBSONBURG MIDDLE SCHOOL,Ohio,Gibsonburg Exempted Village,Sandusky County,43431,Gibsonburg,228,–,–,–,6,38
GILBERT A. DATER HIGH SCHOOL,Ohio,Cincinnati Public Schools,Hamilton County,45238,Cincinnati,1303,–,–,–,75,17.37
GILLES-SWEET ELEMENTARY SCHOOL,Ohio,Fairview Park City,Cuyahoga County,44126,Fairview Park,638,163,35,198,41,15.56
GINN ACADEMY,Ohio,Cleveland Municipal,Cuyahoga County,44110,Cleveland,364,–,–,–,1,364
GIRARD INTERMEDIATE MIDDLE SCHOOL,Ohio,Girard City School District,Trumbull County,44420,Girard,390,–,–,–,24.5,15.92
GIRARD JUNIOR HIGH SCHOOL,Ohio,Girard City School District,Trumbull County,44420,Girard,262,–,–,–,13,20.15
GIRARD SR HIGH SCHOOL,Ohio,Girard City School District,Trumbull County,44420,Girard,549,407,92,499,30.83,17.81
GLACIER RIDGE ELEMENTARY,Ohio,Dublin City,Union County,43017,Dublin,739,3,0,3,32,23.09
GLANDORF ELEMENTARY SCHOOL,Ohio,Ottawa-Glandorf Local,Putnam County,45875,Ottawa,585,19,12,31,31.25,18.72
GLASS CITY ACADEMY,Ohio,Glass City Academy,Lucas County,43604,Toledo,242,–,–,–,12,20.17
GLEN OAK ELEMENTARY SCHOOL,Ohio,Olentangy Local,Delaware County,43035,Lewis Center,651,83,19,102,32.72,19.9
GLENDALE ELEMENTARY SCHOOL,Ohio,Princeton City,Hamilton County,45246,Cincinnati,274,174,23,197,18.5,14.81
GLENDALE PRIMARY SCHOOL,Ohio,Bedford City,Cuyahoga County,44146,Bedford,478,235,50,285,25,19.12
GLENDALE-FEILBACH ELEMENTARY SCHOOL,Ohio,Toledo City,Lucas County,43614,Toledo,415,–,–,–,32,12.97
GLENDENING ELEMENTARY SCHOOL,Ohio,Groveport Madison Local,Franklin County,43125,Groveport,478,262,40,302,25,19.12
GLENFORD ELEMENTARY SCHOOL,Ohio,Northern Local,Perry County,43739,Glenford,357,130,23,153,21.7,16.45
GLENOAK HIGH SCHOOL,Ohio,Plain Local,Stark County,44721,Canton,2034,585,106,691,91.73,22.17
GLENVIEW CENTER FOR CHILDCARE AND LEARNING,OHIO,Bay Village City,Cuyahoga County,44140,Bay Village,51,–,–,–,3,17
GLENVILLE HIGH SCHOOL,Ohio,Cleveland Municipal,Cuyahoga County,44108,Cleveland,384,–,–,–,25,15.36
GLENWOOD ELEMENTARY SCHOOL,Ohio,Toledo City,Lucas County,43610,Toledo,356,–,–,–,21,16.95
GLENWOOD ELEMENTARY SCHOOL,Ohio,Rossford Exempted Village,Wood County,43551,Perrysburg,374,134,37,171,22,17
GLENWOOD HIGH SCHOOL,Ohio,New Boston Local,Scioto County,45662,New Boston,160,–,–,–,10,16
GLENWOOD INTERMEDIATE SCHOOL,Ohio,Plain Local,Stark County,44709,Canton,982,391,52,443,46.18,21.26
GLENWOOD MIDDLE SCHOOL,Ohio,Findlay City,Hancock County,45840,Findlay,556,200,43,243,39,14.26
GLOBAL AMBASSADORS LANGUAGE ACADEMY,OHIO,Global Ambassadors Language Academy,Cuyahoga County,44111,Cleveland,183,93,18,111,14,13.07
GLOBAL IMPACT STEM ACADEMY,Ohio,Global Impact STEM Academy,Clark County,45505,Springfield,658,140,37,177,29.63,22.21
GLOBAL VILLAGE ACADEMY,Ohio,Global Village Academy,Cuyahoga County,44134,Parma,187,112,25,137,10.45,17.89
GLOVER COMMUNITY LEARNING CENTER,Ohio,Akron City,Summit County,44306,Akron,314,–,–,–,18.9,16.61
GOAL DIGITAL ACADEMY,Ohio,Goal Digital Academy,Richland County,44906,Mansfield,611,–,–,–,28.17,21.69
GOLDWOOD PRIMARY ELEMENTARY SCHOOL,Ohio,Rocky River City,Cuyahoga County,44116,Rocky River,534,–,–,–,25.69,20.79
GORDON DEWITT ELEMENTARY SCHOOL,Ohio,Cuyahoga Falls City,Summit County,44221,Cuyahoga Falls,417,164,45,209,21.75,19.17
GORRELL ELEMENTARY SCHOOL,Ohio,Massillon City,Stark County,44647,Massillon,393,–,–,–,20,19.65
GORSUCH WEST ELEMENTARY SCHOOL,Ohio,Lancaster City,Fairfield County,43130,Lancaster,561,363,32,395,28.8,19.48
GOSHEN HIGH SCHOOL,Ohio,Goshen Local,Clermont County,45122,Goshen,829,456,16,472,38.54,21.51
GOSHEN LANE ELEMENTARY SCHOOL,Ohio,Gahanna-Jefferson City,Franklin County,43230,Gahanna,541,186,51,237,26,20.81
GOSHEN MIDDLE SCHOOL,Ohio,Goshen Local,Clermont County,45122,Goshen,664,398,16,414,32.37,20.51
GRACE L ROXBURY ELEMENTARY SCHOOL,Ohio,Solon City,Cuyahoga County,44139,Solon,506,48,9,57,27,18.74
GRAHAM ELEMENTARY AND MIDDLE SCHOOL,Ohio,Graham Elementary and Middle School,Franklin County,43201,Columbus,456,267,33,300,23.5,19.4
GRAHAM ELEMENTARY SCHOOL,Ohio,Graham Local,Champaign County,43072,Saint Paris,829,250,39,289,41,20.22
GRAHAM HIGH SCHOOL,Ohio,Graham Local,Champaign County,43072,Saint Paris,638,122,13,135,30,21.27
GRAHAM MIDDLE SCHOOL,Ohio,Graham Local,Champaign County,43072,Saint Paris,443,113,17,130,27,16.41
GRAHAM SCHOOL THE,Ohio,Graham School The,Franklin County,43214,Columbus,246,108,20,128,62.5,3.94
GRANBY ELEMENTARY SCHOOL,Ohio,Worthington City,Franklin County,43235,Columbus,477,108,20,128,27.95,17.07
GRAND VALLEY ELEMENTARY SCHOOL,Ohio,Grand Valley Local,Ashtabula County,44076,Orwell,386,234,45,279,21,18.38
GRAND VALLEY HIGH SCHOOL,Ohio,Grand Valley Local,Ashtabula County,44076,Orwell,373,109,35,144,21.55,17.31
GRAND VALLEY MIDDLE SCHOOL,Ohio,Grand Valley Local,Ashtabula County,44076,Orwell,334,112,17,129,22.45,14.88
GRANDVIEW HEIGHTS HIGH SCHOOL,Ohio,Grandview Heights Schools,Franklin County,43212,Columbus,317,21,8,29,27,11.74
GRANGER ELEMENTARY SCHOOL,Ohio,Highland Local,Medina County,44256,Medina,497,37,4,41,26.12,19.03
GRANT ELEMENTARY SCHOOL,Ohio,Willoughby-Eastlake City,Lake County,44094,Willoughby,614,218,33,251,38,16.16
GRANT ELEMENTARY SCHOOL,Ohio,Lakewood City,Cuyahoga County,44107,Lakewood,323,96,17,113,18.62,17.35
GRANVILLE ELEMENTARY SCHOOL,Ohio,Granville Exempted Village,Licking County,43023,Granville,711,31,6,37,34.8,20.43
GRANVILLE HIGH SCHOOL,Ohio,Granville Exempted Village,Licking County,43023,Granville,819,49,11,60,40.91,20.02
GRANVILLE INTERMEDIATE SCHOOL,Ohio,Granville Exempted Village,Licking County,43023,Granville,576,26,2,28,29.3,19.66
GRANVILLE MIDDLE SCHOOL,Ohio,Granville Exempted Village,Licking County,43023,Granville,395,–,–,–,21.3,18.54
GREAT RIVER CONNECTIONS ACADEMY,OHIO,Great River Connections Academy,Franklin County,43214,Columbus,465,–,–,–,35,13.29
GREAT WESTERN ACADEMY,Ohio,Great Western Academy,Franklin County,43204,Columbus,765,–,–,–,37,20.68
GREATER OHIO VIRTUAL SCHOOL,Ohio,Greater Ohio Virtual School,Warren County,45036,Lebanon,690,–,–,–,23.8,28.99
GREATER SUMMIT COUNTY EARLY LEARNING CENTER,Ohio,Greater Summit County Early Learning Center,Summit County,44312,Akron,145,–,–,–,8,18.13
GREEN  ELEMENTARY SCHOOL,Ohio,Green Local,Wayne County,44677,Smithville,441,–,–,–,28,15.75
GREEN ELEMENTARY SCHOOL,Ohio,Logan-Hocking Local,Hocking County,43138,Logan,292,–,–,–,14.34,20.36
GREEN ELEMENTARY SCHOOL,Ohio,Green Local,Scioto County,45629,Franklin Furnace,161,–,–,–,10,16.1
GREEN ELEMENTARY SCHOOL,Ohio,Gallipolis City,Gallia County,45631,Gallipolis,303,128,19,147,17.65,17.17
GREEN HIGH SCHOOL,Ohio,Green Local,Scioto County,45629,Franklin Furnace,275,101,8,109,22,12.5
GREEN HIGH SCHOOL,Ohio,Green Local,Summit County,44685,Uniontown,1291,186,30,216,68.72,18.79
GREEN INSPIRATION ACADEMY,Ohio,Green Inspiration Academy,Cuyahoga County,44128,Highland Hills,256,101,4,105,20,12.8
GREEN INTERMEDIATE ELEMENTARY SCHOOL,Ohio,Green Local,Summit County,44685,Uniontown,969,175,32,207,51.33,18.88
GREEN MIDDLE SCHOOL,Ohio,Green Local,Summit County,44232,Green,613,92,13,105,38,16.13
