ELSI Export,,,,,,,,,,,
,,,,,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,,,,,
,,,,,,,,,,,
This is a Public School based table with the following filters applied: State(s) (All Years): OHIO,,,,,,,,,,,
,,,,,,,,,,,
School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2018-19,County Name [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
BAUER ELEMENTARY SCHOOL,Ohio,Miamisburg City,Montgomery County,45449,Dayton,450,143,24,167,24.6,18.29
BAY HIGH SCHOOL,Ohio,Bay Village City,Cuyahoga County,44140,Bay Village,813,46,9,55,52.08,15.61
BAY MIDDLE SCHOOL,Ohio,Bay Village City,Cuyahoga County,44140,Bay Village,767,27,24,51,52.85,14.51
BEACHWOOD HIGH SCHOOL,Ohio,Beachwood City,Cuyahoga County,44122,Beachwood,649,44,11,55,40.29,16.11
BEACHWOOD MIDDLE SCHOOL,Ohio,Beachwood City,Cuyahoga County,44122,Beachwood,304,26,9,35,27.32,11.13
BEACON ACADEMY,OHIO,Beacon Academy,Stark County,44706,Canton,186,–,–,–,10.33,18.01
BEACON ELEMENTARY SCHOOL,Ohio,Hilliard City,Franklin County,43026,Hilliard,491,157,24,181,25,19.64
BEACON HILL ACADEMY,Ohio,Beacon Hill Academy,Wayne County,44624,Dundee,58,5,10,15,4,14.5
BEALLSVILLE ELEMENTARY SCHOOL,Ohio,Switzerland of Ohio Local,Monroe County,43716,Beallsville,168,–,–,–,11.8,14.24
BEALLSVILLE HIGH SCHOOL,Ohio,Switzerland of Ohio Local,Monroe County,43716,Beallsville,131,107,21,128,11.2,11.7
BEAR ELEMENTARY SCHOOL,Ohio,Miamisburg City,Montgomery County,45342,Miamisburg,202,71,18,89,13.4,15.07
BEATTY PARK ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43203,Columbus,79,–,–,–,14,5.64
BEAVER LOCAL ELEMENTARY SCHOOL,Ohio,Beaver Local,Columbiana County,43920,East Liverpool,667,–,–,–,34.5,19.33
BEAVER LOCAL HIGH SCHOOL,Ohio,Beaver Local,Columbiana County,43920,East Liverpool,530,441,86,527,30,17.67
BEAVER LOCAL MIDDLE SCHOOL,Ohio,Beaver Local,Columbiana County,43920,East Liverpool,560,–,–,–,26.5,21.13
BEAVERCREEK CITY SCHOOL PRESCHOOL,OHIO,Beavercreek City,Greene County,45431,Beavercreek,192,–,–,–,10.08,19.05
BEAVERCREEK HIGH SCHOOL,Ohio,Beavercreek City,Greene County,45434,Beavercreek,1816,185,44,229,81.97,22.15
BEAVERTOWN ELEMENTARY SCHOOL,Ohio,Kettering City School District,Montgomery County,45419,Kettering,373,155,24,179,20.59,18.12
BEDFORD HIGH SCHOOL,Ohio,Bedford City,Cuyahoga County,44146,Bedford,1056,487,92,579,57.14,18.48
BEECHCROFT HIGH SCHOOL,Ohio,Columbus City School District,Franklin County,43229,Columbus,631,–,–,–,43,14.67
BEECHWOOD ELEMENTARY SCHOOL,Ohio,Whitehall City,Franklin County,43213,Whitehall,570,–,–,–,24,23.75
BELDEN ELEMENTARY SCHOOL,Ohio,Canton City,Stark County,44704,Canton,248,–,–,–,17.5,14.17
BELL CREEK INTERMEDIATE SCHOOL,Ohio,Bellbrook-Sugarcreek Local,Greene County,45305,Bellbrook,608,76,16,92,30.5,19.93
BELL-HERRON MIDDLE SCHOOL,Ohio,Carrollton Exempted Village,Carroll County,44615,Carrollton,460,173,44,217,21,21.9
BELLA ACADEMY OF EXCELLENCE,Ohio,Bella Academy of Excellence,Cuyahoga County,44119,Cleveland,301,–,–,–,13.84,21.75
BELLAIRE ELEMENTARY SCHOOL,Ohio,Bellaire Local,Belmont County,43906,Bellaire,462,269,36,305,26,17.77
BELLAIRE HIGH SCHOOL,Ohio,Bellaire Local,Belmont County,43906,Bellaire,336,140,20,160,21.5,15.63
BELLAIRE MIDDLE SCHOOL,Ohio,Bellaire Local,Belmont County,43906,Bellaire,365,175,29,204,28,13.04
BELLBROOK HIGH SCHOOL,Ohio,Bellbrook-Sugarcreek Local,Greene County,45305,Bellbrook,914,–,–,–,45.29,20.18
BELLBROOK MIDDLE SCHOOL,Ohio,Bellbrook-Sugarcreek Local,Greene County,45305,Bellbrook,664,90,26,116,33.28,19.95
BELLE AIRE INTERMEDIATE,Ohio,Washington Court House City,Fayette County,43160,Washington,513,269,50,319,27,19
BELLE HAVEN ELEMENTARY SCHOOL,Ohio,Dayton City,Montgomery County,45416,Dayton,461,–,–,–,23,20.04
BELLE STONE ELEMENTARY SCHOOL,Ohio,Canton City,Stark County,44714,Canton,321,–,–,–,16.5,19.45
BELLEFONTAINE ELEMENTARY SCHOOL,Ohio,Bellefontaine City,Logan County,43311,Bellefontaine,540,250,55,305,28,19.29
