2022 PI Ranking,LEA Name,2022 PI Proxy Descriptor,2022 PI for Ranking,2022 Achievement Rating,ODE Designated County,LEA IRN,LEA Org Type,LEA Status as of 9/13/22,2022 Grade Span,Additional Comments
479,Adams County Ohio Valley Local,REAL PI,78.647,3 Star,Adams,061903,Public District,Open,K-12,
504,Manchester Local,REAL PI,77.441,3 Star,Adams,000442,Public District,Open,K-12,
83,Bluffton Exempted Village,REAL PI,97.607,5 Star,Allen,045211,Public District,Open,K-12,
110,Shawnee Local,REAL PI,95.437,4 Star,Allen,045799,Public District,Open,K-12,
122,Bath Local,REAL PI,94.632,4 Star,Allen,045765,Public District,Open,K-12,
124,Delphos City,REAL PI,94.419,4 Star,Allen,043885,Public District,Open,K-12,
142,Spencerville Local,REAL PI,93.673,4 Star,Allen,045807,Public District,Open,K-12,
229,Allen East Local,REAL PI,89.473,4 Star,Allen,045757,Public District,Open,K-12,
249,Elida Local,REAL PI,88.461,4 Star,Allen,045773,Public District,Open,K-12,
535,Perry Local,REAL PI,75.477,3 Star,Allen,045781,Public District,Open,K-12,
590,Heir Force Community School,REAL PI,69.882,2 Star,Allen,000613,Community School,Open,K-8,
683,Lima City,REAL PI,60.073,2 Star,Allen,044222,Public District,Open,K-12,
170,Ashland City,REAL PI,92.018,4 Star,Ashland,043505,Public District,Open,K-12,
257,Hillsdale Local,REAL PI,88.237,4 Star,Ashland,045823,Public District,Open,K-12,
368,Loudonville-Perrysville Exempted Village,REAL PI,83.575,3 Star,Ashland,045468,Public District,Open,K-12,
445,Mapleton Local,REAL PI,80.108,3 Star,Ashland,045831,Public District,Open,K-12,
409,Geneva Area City,REAL PI,81.774,3 Star,Ashtabula,044057,Public District,Open,K-12,
444,Jefferson Area Local,REAL PI,80.192,3 Star,Ashtabula,045872,Public District,Open,K-12,
469,Pymatuning Valley Local,REAL PI,79.096,3 Star,Ashtabula,045880,Public District,Open,K-12,
484,Grand Valley Local,REAL PI,78.426,3 Star,Ashtabula,045864,Public District,Open,K-12,
494,Buckeye Local,REAL PI,77.935,3 Star,Ashtabula,045856,Public District,Open,K-12,
553,Conneaut Area City,REAL PI,73.955,2 Star,Ashtabula,043810,Public District,Open,K-12,
646,Ashtabula Area City,REAL PI,64.165,2 Star,Ashtabula,043513,Public District,Open,K-12,
381,Alexander Local,REAL PI,82.916,3 Star,Athens,045906,Public District,Open,K-12,
404,Athens City,REAL PI,81.909,3 Star,Athens,043521,Public District,Open,K-12,
583,Federal Hocking Local,REAL PI,70.77,2 Star,Athens,045914,Public District,Open,K-12,
618,Nelsonville-York City,REAL PI,66.91,2 Star,Athens,044446,Public District,Open,K-12,
647,Trimble Local,REAL PI,64.119,2 Star,Athens,045922,Public District,Open,K-12,
6,Minster Local,REAL PI,107.229,5 Star,Auglaize,045948,Public District,Open,K-12,
15,New Bremen Local,REAL PI,105.257,5 Star,Auglaize,045955,Public District,Open,K-12,
49,New Knoxville Local,REAL PI,100.477,5 Star,Auglaize,045963,Public District,Open,K-12,
264,Wapakoneta City,REAL PI,87.913,4 Star,Auglaize,044982,Public District,Open,K-12,
310,St Marys City,REAL PI,85.8,4 Star,Auglaize,044727,Public District,Open,K-12,
325,Waynesfield-Goshen Local,REAL PI,85.196,3 Star,Auglaize,045971,Public District,Open,K-12,
171,St Clairsville-Richland City,REAL PI,91.987,4 Star,Belmont,045997,Public District,Open,K-12,
300,Shadyside Local,REAL PI,86.116,4 Star,Belmont,046003,Public District,Open,K-12,
331,Bellaire Local,REAL PI,84.841,3 Star,Belmont,043570,Public District,Open,K-12,
413,Bridgeport Exempted Village,REAL PI,81.562,3 Star,Belmont,045237,Public District,Open,K-12,
435,Barnesville Exempted Village,REAL PI,80.57,3 Star,Belmont,045203,Public District,Open,K-12,
520,Martins Ferry City,REAL PI,76.098,3 Star,Belmont,044347,Public District,Open,K-12,
536,Union Local,REAL PI,75.359,3 Star,Belmont,046011,Public District,Open,K-12,
303,Georgetown Exempted Village,REAL PI,86.074,4 Star,Brown,045377,Public District,Open,K-12,
330,Eastern Local School District,REAL PI,84.886,3 Star,Brown,046037,Public District,Open,K-12,
353,Fayetteville-Perry Local,REAL PI,84.123,3 Star,Brown,046045,Public District,Open,K-12,
420,Western Brown Local,REAL PI,81.252,3 Star,Brown,046060,Public District,Open,K-12,
532,Ripley-Union-Lewis-Huntington Local,REAL PI,75.599,3 Star,Brown,046078,Public District,Open,K-12,
96,Ross Local,REAL PI,96.266,4 Star,Butler,046144,Public District,Open,K-12,
139,Monroe Local,REAL PI,93.785,4 Star,Butler,139303,Public District,Open,K-12,
180,Lakota Local,REAL PI,91.331,4 Star,Butler,046110,Public District,Open,K-12,
298,Talawanda City,REAL PI,86.191,4 Star,Butler,046151,Public District,Open,K-12,
323,Madison Local,REAL PI,85.238,3 Star,Butler,046128,Public District,Open,K-12,
394,Fairfield City,REAL PI,82.304,3 Star,Butler,046102,Public District,Open,K-12,
470,Edgewood City,REAL PI,79.072,3 Star,Butler,046094,Public District,Open,K-12,
531,Hamilton City,REAL PI,75.633,3 Star,Butler,044107,Public District,Open,K-12,
601,New Miami Local,REAL PI,68.739,2 Star,Butler,046136,Public District,Open,K-12,
645,Middletown Preparatory & Fitness Academy,REAL PI,64.211,2 Star,Butler,143214,Community School,Open,K-8,
691,Middletown City,REAL PI,59.314,2 Star,Butler,044404,Public District,Open,K-12,
692,Richard Allen Academy,REAL PI,59.147,2 Star,Butler,133736,Community School,Open,K-6,
698,Summit Academy Secondary School - Middletown,REAL PI,58.74,2 Star,Butler,000634,Community School,Open,7-12,
756,Summit Acdy Comm Schl for Alternative Learners of Middletown,REAL PI,52.909,1 Star,Butler,132746,Community School,Open,K-6,
372,Carrollton Exempted Village,REAL PI,83.451,3 Star,Carroll,045278,Public District,Open,K-12,
480,Brown Local,REAL PI,78.622,3 Star,Carroll,046177,Public District,Open,K-12,
116,West Liberty-Salem Local,REAL PI,94.929,4 Star,Champaign,046219,Public District,Open,K-12,
146,Mechanicsburg Exempted Village,REAL PI,93.54,4 Star,Champaign,045484,Public District,Open,K-12,
205,Triad Local,REAL PI,90.316,4 Star,Champaign,046201,Public District,Open,K-12,
460,Graham Local,REAL PI,79.574,3 Star,Champaign,046193,Public District,Open,K-12,
533,Urbana City,REAL PI,75.545,3 Star,Champaign,044941,Public District,Open,K-12,
295,Southeastern Local,REAL PI,86.554,4 Star,Clark,046276,Public District,Open,K-12,
336,Northeastern Local,REAL PI,84.651,3 Star,Clark,046250,Public District,Open,K-12,
344,Northwestern Local,REAL PI,84.407,3 Star,Clark,046268,Public District,Open,K-12,
352,Clark-Shawnee Local,REAL PI,84.166,3 Star,Clark,046284,Public District,Open,K-12,
451,Greenon Local,REAL PI,79.892,3 Star,Clark,046235,Public District,Open,K-12,
501,Global Impact STEM Academy,REAL PI,77.564,3 Star,Clark,013930,STEM,Open,7-12,
513,Tecumseh Local,REAL PI,76.782,3 Star,Clark,046243,Public District,Open,K-12,
715,Springfield City School District,REAL PI,56.517,2 Star,Clark,044818,Public District,Open,K-12,
725,Springfield Preparatory and Fitness Academy,REAL PI,55.824,2 Star,Clark,000510,Community School,Open,K-8,
111,Milford Exempted Village,REAL PI,95.268,4 Star,Clermont,045500,Public District,Open,K-12,
214,Williamsburg Local,REAL PI,90.208,4 Star,Clermont,046367,Public District,Open,K-12,
231,Goshen Local,REAL PI,89.36,4 Star,Clermont,046342,Public District,Open,K-12,
302,Bethel-Tate Local,REAL PI,86.091,4 Star,Clermont,046318,Public District,Open,K-12,
318,New Richmond Exempted Village,REAL PI,85.373,3 Star,Clermont,045559,Public District,Open,K-12,
360,Felicity-Franklin Local,REAL PI,83.838,3 Star,Clermont,046334,Public District,Open,K-12,
366,Batavia Local,REAL PI,83.627,3 Star,Clermont,046300,Public District,Open,K-12,
437,West Clermont Local,REAL PI,80.525,3 Star,Clermont,046359,Public District,Open,K-12,
454,Clermont Northeastern Local,REAL PI,79.807,3 Star,Clermont,046326,Public District,Open,K-12,
293,Clinton-Massie Local,REAL PI,86.619,4 Star,Clinton,046391,Public District,Open,K-12,
431,Blanchester Local,REAL PI,80.717,3 Star,Clinton,046383,Public District,Open,K-12,
522,East Clinton Local,REAL PI,76.007,3 Star,Clinton,046409,Public District,Open,K-12,
540,Wilmington City,REAL PI,75.217,3 Star,Clinton,045112,Public District,Open,K-12,
109,Columbiana Exempted Village,REAL PI,95.497,4 Star,Columbiana,045328,Public District,Open,K-12,
198,Crestview Local,REAL PI,90.855,4 Star,Columbiana,046433,Public District,Open,K-12,
237,Beaver Local,REAL PI,89.004,4 Star,Columbiana,046425,Public District,Open,K-12,
365,Salem City,REAL PI,83.72,3 Star,Columbiana,044735,Public District,Open,K-12,
385,United Local,REAL PI,82.79,3 Star,Columbiana,046458,Public District,Open,K-12,
430,Leetonia Exempted Village School District,REAL PI,80.752,3 Star,Columbiana,045443,Public District,Open,K-12,
476,East Palestine City,REAL PI,78.832,3 Star,Columbiana,043927,Public District,Open,K-12,
537,Lisbon Exempted Village,REAL PI,75.353,3 Star,Columbiana,045450,Public District,Open,K-12,
577,Wellsville Local,REAL PI,71.89,2 Star,Columbiana,045039,Public District,Open,K-12,
627,Southern Local,REAL PI,66.195,2 Star,Columbiana,046441,Public District,Open,K-12,
638,Buckeye On-Line School for Success,REAL PI,65.042,2 Star,Columbiana,000417,Community School,Open,"K,1-12,PS",
665,East Liverpool City,REAL PI,61.947,2 Star,Columbiana,043919,Public District,Open,K-12,
276,Ridgewood Local,REAL PI,87.172,4 Star,Coshocton,046474,Public District,Open,K-12,
389,River View Local,REAL PI,82.678,3 Star,Coshocton,046482,Public District,Open,K-12,
539,Coshocton City,REAL PI,75.312,3 Star,Coshocton,043828,Public District,Open,K-12,
123,Buckeye Central Local,REAL PI,94.446,4 Star,Crawford,046508,Public District,Open,K-12,
234,Colonel Crawford Local,REAL PI,89.246,4 Star,Crawford,046516,Public District,Open,K-12,
376,Wynford Local,REAL PI,83.384,3 Star,Crawford,046524,Public District,Open,K-12,
498,Galion City,REAL PI,77.672,3 Star,Crawford,044024,Public District,Open,K-12,
585,Bucyrus City,REAL PI,70.586,2 Star,Crawford,043687,Public District,Open,K-12,
607,Crestline Exempted Village,REAL PI,68.459,2 Star,Crawford,045344,Public District,Open,K-12,
1,Solon City,REAL PI,110.145,5 Star,Cuyahoga,046607,Public District,Open,K-12,
2,Rocky River City,REAL PI,108.028,5 Star,Cuyahoga,044701,Public District,Open,K-12,
3,Chagrin Falls Exempted Village,REAL PI,107.915,5 Star,Cuyahoga,045286,Public District,Open,K-12,
16,Bay Village City,REAL PI,104.941,5 Star,Cuyahoga,043547,Public District,Open,K-12,
17,Brecksville-Broadview Heights City,REAL PI,104.787,5 Star,Cuyahoga,043646,Public District,Open,K-12,
19,Beachwood City,REAL PI,104.73,5 Star,Cuyahoga,043554,Public District,Open,K-12,
41,Menlo Park Academy,REAL PI,101.396,5 Star,Cuyahoga,000318,Community School,Open,K-8,
45,Cuyahoga Heights Local,REAL PI,100.897,5 Star,Cuyahoga,046557,Public District,Open,K-12,
46,Orange City,REAL PI,100.886,5 Star,Cuyahoga,046581,Public District,Open,K-12,
54,Independence Local,REAL PI,99.529,5 Star,Cuyahoga,046565,Public District,Open,K-12,
64,North Royalton City,REAL PI,98.823,5 Star,Cuyahoga,044545,Public District,Open,K-12,
68,Westlake City,REAL PI,98.312,5 Star,Cuyahoga,045062,Public District,Open,K-12,
72,Strongsville City,REAL PI,98.128,5 Star,Cuyahoga,044842,Public District,Open,K-12,
147,Global Village Academy,REAL PI,93.527,4 Star,Cuyahoga,012558,Community School,Open,K-8,
160,Olmsted Falls City,REAL PI,92.622,4 Star,Cuyahoga,046573,Public District,Open,K-12,
173,Constellation Schools: Westpark Community Elementary,REAL PI,91.897,4 Star,Cuyahoga,132993,Community School,Open,K-4,
185,Lakewood City,REAL PI,91.193,4 Star,Cuyahoga,044198,Public District,Open,K-12,
218,Fairview Park City,REAL PI,89.98,4 Star,Cuyahoga,043976,Public District,Open,K-12,
219,Mayfield City,REAL PI,89.972,4 Star,Cuyahoga,044370,Public District,Open,K-12,
324,North Olmsted City,REAL PI,85.237,3 Star,Cuyahoga,044529,Public District,Open,K-12,
359,Shaker Heights City,REAL PI,83.864,3 Star,Cuyahoga,044750,Public District,Open,K-12,
397,Near West Intergenerational School,REAL PI,82.213,3 Star,Cuyahoga,012030,Community School,Open,K-8,
425,Berea City,REAL PI,81,3 Star,Cuyahoga,043612,Public District,Open,K-12,
485,Global Ambassadors Language Academy,REAL PI,78.398,3 Star,Cuyahoga,015737,Community School,Open,K-12,
512,Parma City,REAL PI,76.823,3 Star,Cuyahoga,044636,Public District,Open,K-12,
528,Brooklyn City,REAL PI,75.72,3 Star,Cuyahoga,043653,Public District,Open,K-12,
578,Constellation Schools: Puritas Community Elementary,REAL PI,71.583,2 Star,Cuyahoga,143479,Community School,Open,K-4,
584,Huber Heights Preparatory Academy dba Parma Academy,REAL PI,70.769,2 Star,Cuyahoga,017535,Community School,Open,K-8,
587,Apex Academy,REAL PI,70.525,2 Star,Cuyahoga,000560,Community School,Open,K-8,
595,"Ohio Connections Academy, Inc",REAL PI,69.304,2 Star,Cuyahoga,000236,Community School,Open,K-12,
596,South Euclid-Lyndhurst City,REAL PI,68.997,2 Star,Cuyahoga,044792,Public District,Open,K-12,
605,Constellation Schools: Parma Community,REAL PI,68.605,2 Star,Cuyahoga,133256,Community School,Open,K-12,
608,Hope Academy Northwest Campus,REAL PI,68.447,2 Star,Cuyahoga,000575,Community School,Open,K-12,
613,Lakeshore Intergenerational School,REAL PI,67.486,2 Star,Cuyahoga,014913,Community School,Open,K-8,
619,Cleveland Heights-University Heights City,REAL PI,66.907,2 Star,Cuyahoga,043794,Public District,Open,K-12,
622,Pinnacle Academy,REAL PI,66.753,2 Star,Cuyahoga,000543,Community School,Open,K-8,
623,"Albert Einstein Academy for Letters, Arts and Sciences-Ohio",REAL PI,66.699,2 Star,Cuyahoga,013994,Community School,Open,K-12,
624,"Intergenerational School, The",REAL PI,66.395,2 Star,Cuyahoga,133215,Community School,Open,K-8,
625,Constellation Schools: Westpark Community Middle,REAL PI,66.266,2 Star,Cuyahoga,000316,Community School,Open,5-8,
630,Village Preparatory School Cliffs,REAL PI,65.857,2 Star,Cuyahoga,011291,Community School,Open,K-8,
644,Orchard Park Academy,REAL PI,64.224,2 Star,Cuyahoga,016837,Community School,Open,K-8,
648,STEAM Academy of Warrensville Heights,REAL PI,63.81,2 Star,Cuyahoga,013147,Community School,Open,K-12,
653,Broadway Academy,REAL PI,63.099,2 Star,Cuyahoga,012684,Community School,Open,K-8,
658,Bedford City,REAL PI,62.681,2 Star,Cuyahoga,043562,Public District,Open,K-12,
660,Constellation Schools: Eastside Arts Academy,REAL PI,62.598,2 Star,Cuyahoga,012671,Community School,Open,K-6,
666,Warrensville Heights City,REAL PI,61.846,2 Star,Cuyahoga,045005,Public District,Open,K-12,
668,Noble Academy-Cleveland,REAL PI,61.368,2 Star,Cuyahoga,008278,Community School,Open,K-12,
669,Richmond Heights Local,REAL PI,61.274,2 Star,Cuyahoga,046599,Public District,Open,K-12,
676,Village Preparatory School Willard,REAL PI,60.588,2 Star,Cuyahoga,015722,Community School,Open,K-8,
677,Constellation Schools: Puritas Community Middle,REAL PI,60.442,2 Star,Cuyahoga,000534,Community School,Open,5-8,
685,Horizon Science Academy-Cleveland Middle School,REAL PI,59.944,2 Star,Cuyahoga,000858,Community School,Open,K-12,
686,Constellation Schools: Old Brooklyn Community Middle,REAL PI,59.777,2 Star,Cuyahoga,000321,Community School,Open,5-8,
704,Maple Heights City,REAL PI,58.134,2 Star,Cuyahoga,044305,Public District,Open,K-12,
707,Cleveland Preparatory Academy,REAL PI,57.54,2 Star,Cuyahoga,013199,Community School,Open,K-12,
710,Lincoln Park Academy,REAL PI,57.018,2 Star,Cuyahoga,014065,Community School,Open,K-8,
712,Bella Academy of Excellence,REAL PI,56.723,2 Star,Cuyahoga,011390,Community School,Open,K-6,
716,Constellation Schools: Stockyard Community Elementary,REAL PI,56.516,2 Star,Cuyahoga,143487,Community School,Open,K-6,
717,East Preparatory Academy,REAL PI,56.444,2 Star,Cuyahoga,014147,Community School,Open,K-8,
718,Euclid City,REAL PI,56.363,2 Star,Cuyahoga,043950,Public District,Open,K-12,
719,Horizon Science Acad Cleveland,REAL PI,56.298,2 Star,Cuyahoga,133629,Community School,Open,K-12,
720,Constellation Schools: Old Brooklyn Community Elementary,REAL PI,56.195,2 Star,Cuyahoga,134098,Community School,Open,K-4,
721,Citizens Academy Southeast,REAL PI,56.162,2 Star,Cuyahoga,015261,Community School,Open,K-8,
727,Northeast Ohio College Preparatory School,REAL PI,55.67,2 Star,Cuyahoga,011923,Community School,Open,K-12,
729,Green Inspiration Academy,REAL PI,55.273,2 Star,Cuyahoga,134197,Community School,Open,K-8,
732,Horizon Science Academy-Denison Middle School,REAL PI,54.898,2 Star,Cuyahoga,000838,Community School,Open,K-8,
734,Wings Academy 1,REAL PI,54.651,2 Star,Cuyahoga,000736,Community School,Open,K-8,
737,Cleveland Municipal,REAL PI,54.134,2 Star,Cuyahoga,043786,Public District,Open,K-12,
739,Stepstone Academy,REAL PI,54.061,1 Star,Cuyahoga,013148,Community School,Open,K-5,
746,Euclid Preparatory School,REAL PI,53.447,1 Star,Cuyahoga,015712,Community School,Open,K-8,
752,Lake Erie College Preparatory School,REAL PI,53.102,1 Star,Cuyahoga,013132,Community School,Open,K-12,
759,Citizens Leadership Academy,REAL PI,52.29,1 Star,Cuyahoga,012029,Community School,Closed,K-8,
760,Washington Park Community School,REAL PI,52.135,1 Star,Cuyahoga,133280,Community School,Open,K-8,
762,Cleveland Arts and Social Sciences Academy,REAL PI,51.804,1 Star,Cuyahoga,007995,Community School,Open,K-12,
764,University of Cleveland Preparatory School,REAL PI,51.679,1 Star,Cuyahoga,012541,Community School,Open,K-12,
777,Innovation Academy West,REAL PI,50.37,1 Star,Cuyahoga,143313,Community School,Open,K-8,
779,Ohio College Preparatory School,REAL PI,50.129,1 Star,Cuyahoga,013253,Community School,Open,K-12,
780,Garfield Heights City Schools,REAL PI,50.031,1 Star,Cuyahoga,044040,Public District,Open,K-12,
782,Village Preparatory School Woodland Hills,REAL PI,49.481,1 Star,Cuyahoga,013034,Community School,Open,K-8,
787,Constellation Schools: Westside Community School of the Arts,REAL PI,48.58,1 Star,Cuyahoga,009149,Community School,Open,K-8,
789,West Park Academy,REAL PI,48.357,1 Star,Cuyahoga,014189,Community School,Open,K-8,
798,East Academy,REAL PI,47.492,1 Star,Cuyahoga,014187,Community School,Open,K-12,
799,Summit Academy Community School-Parma,REAL PI,47.491,1 Star,Cuyahoga,000302,Community School,Open,K-12,
801,T2 Honors Academy,REAL PI,47.05,1 Star,Cuyahoga,014904,Community School,Open,7-12,
812,Harvard Avenue Performance Academy,REAL PI,45.725,1 Star,Cuyahoga,008286,Community School,Open,K-8,
814,Constellation Schools: Stockyard Community Middle,REAL PI,45.584,1 Star,Cuyahoga,012025,Community School,Open,7-8,
815,Cleveland College Preparatory School,REAL PI,45.54,1 Star,Cuyahoga,012010,Community School,Open,K-12,
822,The Brilliance School,REAL PI,44.928,1 Star,Cuyahoga,013170,Community School,Open,K-12,
827,SMART Academy,REAL PI,43.478,1 Star,Cuyahoga,016812,Community School,Open,K-4,
828,Constellation Schools: Madison Community Elementary,REAL PI,43.47,1 Star,Cuyahoga,000319,Community School,Open,K-8,
831,East Cleveland City School District,REAL PI,43.275,1 Star,Cuyahoga,043901,Public District,Open,K-12,
832,Citizens Leadership Academy East,REAL PI,43.031,1 Star,Cuyahoga,016843,Community School,Open,K-8,
838,Hope Academy Northcoast,REAL PI,42.348,1 Star,Cuyahoga,142968,Community School,Open,K-8,
7,Versailles Exempted Village,REAL PI,107.025,5 Star,Darke,045633,Public District,Open,K-12,
113,Tri-Village Local,REAL PI,95.084,4 Star,Darke,046680,Public District,Open,K-12,
125,Franklin Monroe Local,REAL PI,94.35,4 Star,Darke,046649,Public District,Open,K-12,
131,Arcanum-Butler Local,REAL PI,94.064,4 Star,Darke,046631,Public District,Open,K-12,
148,Ansonia Local,REAL PI,93.517,4 Star,Darke,046623,Public District,Open,K-12,
285,Mississinawa Valley Local,REAL PI,86.89,4 Star,Darke,046672,Public District,Open,K-12,
415,Greenville City,REAL PI,81.521,3 Star,Darke,044099,Public District,Open,K-12,
48,Hicksville Exempted Village,REAL PI,100.614,5 Star,Defiance,045419,Public District,Open,K-12,
57,Ayersville Local,REAL PI,99.448,5 Star,Defiance,046706,Public District,Open,K-12,
169,Central Local,REAL PI,92.086,4 Star,Defiance,046714,Public District,Open,K-12,
178,Northeastern Local,REAL PI,91.497,4 Star,Defiance,046722,Public District,Open,K-12,
463,Defiance City,REAL PI,79.266,3 Star,Defiance,043869,Public District,Open,K-12,
37,Olentangy Local,REAL PI,102.289,5 Star,Delaware,046763,Public District,Open,K-12,
154,Big Walnut Local,REAL PI,93.108,4 Star,Delaware,046748,Public District,Open,K-12,
226,Buckeye Valley Local,REAL PI,89.69,4 Star,Delaware,046755,Public District,Open,K-12,
315,Delaware City,REAL PI,85.578,3 Star,Delaware,043877,Public District,Open,K-12,
119,Edison Local (formerly Berlin-Milan),REAL PI,94.862,4 Star,Erie,046789,Public District,Open,K-12,
140,Huron City Schools,REAL PI,93.734,4 Star,Erie,044131,Public District,Open,K-12,
286,Vermilion Local,REAL PI,86.869,4 Star,Erie,046821,Public District,Open,K-12,
337,Perkins Local,REAL PI,84.64,3 Star,Erie,046813,Public District,Open,K-12,
400,Margaretta Local,REAL PI,82.027,3 Star,Erie,046805,Public District,Open,K-12,
639,Sandusky City,REAL PI,65.032,2 Star,Erie,044743,Public District,Open,K-12,
711,Monroe Preparatory Academy,REAL PI,56.769,2 Star,Erie,008064,Community School,Open,K-8,
191,Bloom-Carroll Local,REAL PI,91.041,4 Star,Fairfield,046862,Public District,Open,K-12,
240,Pickerington Local,REAL PI,88.838,4 Star,Fairfield,046896,Public District,Open,K-12,
280,Fairfield Union Local,REAL PI,87.077,4 Star,Fairfield,046870,Public District,Open,K-12,
292,Walnut Township Local,REAL PI,86.626,4 Star,Fairfield,046904,Public District,Open,K-12,
373,Berne Union Local,REAL PI,83.449,3 Star,Fairfield,046854,Public District,Open,K-12,
416,Amanda-Clearcreek Local,REAL PI,81.363,3 Star,Fairfield,046847,Public District,Open,K-12,
422,Liberty Union-Thurston Local,REAL PI,81.14,3 Star,Fairfield,046888,Public District,Open,K-12,
499,Lancaster City,REAL PI,77.664,3 Star,Fairfield,044206,Public District,Open,K-12,
261,Miami Trace Local,REAL PI,88.031,4 Star,Fayette,046920,Public District,Open,K-12,
449,Washington Court House City,REAL PI,79.934,3 Star,Fayette,045013,Public District,Open,K-12,
26,New Albany-Plain Local,REAL PI,103.311,5 Star,Franklin,046995,Public District,Open,K-12,
30,Grandview Heights Schools,REAL PI,102.973,5 Star,Franklin,044073,Public District,Open,K-12,
50,Bexley City,REAL PI,100.085,5 Star,Franklin,043620,Public District,Open,K-12,
60,Upper Arlington City,REAL PI,99.367,5 Star,Franklin,044933,Public District,Open,K-12,
98,Dublin City,REAL PI,96.128,4 Star,Franklin,047027,Public District,Open,K-12,
161,Worthington City,REAL PI,92.581,4 Star,Franklin,045138,Public District,Open,K-12,
186,Columbus Preparatory Academy,REAL PI,91.19,4 Star,Franklin,000558,Community School,Open,K-12,
255,Metro Early College High School,REAL PI,88.365,4 Star,Franklin,012391,STEM,Open,6-12,
278,Hilliard City,REAL PI,87.136,4 Star,Franklin,047019,Public District,Open,K-12,
294,Cornerstone Academy Community School,REAL PI,86.561,3 Star,Franklin,133439,Community School,Open,K-12,
299,Westerville City,REAL PI,86.13,4 Star,Franklin,045047,Public District,Open,K-12,
307,Gahanna-Jefferson City,REAL PI,85.994,4 Star,Franklin,046961,Public District,Open,K-12,
326,Canal Winchester Local,REAL PI,85.122,3 Star,Franklin,046946,Public District,Open,K-12,
379,Hamilton Local,REAL PI,83.103,3 Star,Franklin,046953,Public District,Open,K-12,
441,Arts & College Preparatory Academy,REAL PI,80.423,3 Star,Franklin,143610,Community School,Open,7-12,
516,South-Western City,REAL PI,76.368,3 Star,Franklin,044800,Public District,Open,K-12,
557,Focus Learning Academy of Central Columbus,5,73.571,NR,Franklin,019235,Community School,Open,K-8,
559,Horizon Science Academy Columbus,REAL PI,73.391,2 Star,Franklin,133660,Community School,Open,9-12,
564,Midnimo Cross Cultural Community School,REAL PI,73.092,2 Star,Franklin,000780,Community School,Open,6-8,
568,Oakstone Community School,REAL PI,72.603,2 Star,Franklin,000679,Community School,Open,"K,1-12,UNG,SN",
570,Reynoldsburg City,REAL PI,72.322,2 Star,Franklin,047001,Public District,Open,K-12,
580,Patriot Preparatory Academy,REAL PI,71.202,2 Star,Franklin,012045,Community School,Open,K-12,
582,Cesar Chavez College Preparatory School,REAL PI,70.794,2 Star,Franklin,010036,Community School,Open,K-12,
591,United Preparatory Academy,REAL PI,69.84,2 Star,Franklin,014467,Community School,Open,K-5,
609,International Acad Of Columbus,REAL PI,68.291,2 Star,Franklin,143172,Community School,Open,K-10,
611,Columbus Collegiate Academy - West,REAL PI,68.035,2 Star,Franklin,012951,Community School,Open,6-8,
612,Focus Learning Academy of Northern Columbus,REAL PI,67.856,2 Star,Franklin,142943,Community School,Open,K-8,
615,Groveport Madison Local,REAL PI,67.255,2 Star,Franklin,046979,Public District,Open,K-12,
631,"Columbus Humanities, Arts and Technology Academy",REAL PI,65.758,2 Star,Franklin,000553,Community School,Open,K-12,
634,Whitehall City,REAL PI,65.372,2 Star,Franklin,045070,Public District,Open,K-12,
635,Horizon Science Academy Elementary School,REAL PI,65.21,2 Star,Franklin,009990,Community School,Open,K-5,
640,Westside Academy,REAL PI,64.957,2 Star,Franklin,000875,Community School,Open,K-8,
641,South Columbus Preparatory Academy at Southfield,REAL PI,64.776,2 Star,Franklin,019200,Community School,Open,K-8,
649,Noble Academy-Columbus,REAL PI,63.766,2 Star,Franklin,008280,Community School,Open,K-12,
650,Charles School at Ohio Dominican University,REAL PI,63.742,2 Star,Franklin,007999,Community School,Open,9-12,
659,Columbus Collegiate Academy,REAL PI,62.616,2 Star,Franklin,009122,Community School,Open,6-8,
663,Groveport Community School,REAL PI,62.463,2 Star,Franklin,008287,Community School,Open,K-8,
667,South Scioto Academy,REAL PI,61.424,2 Star,Franklin,008281,Community School,Open,K-12,
674,Zenith Academy,REAL PI,60.925,2 Star,Franklin,000725,Community School,Open,K-12,
678,KIPP Columbus,REAL PI,60.43,2 Star,Franklin,009997,Community School,Open,K-12,
689,Educational Academy for Boys & Girls,REAL PI,59.426,2 Star,Franklin,000779,Community School,Open,K-12,
690,United Preparatory Academy East,REAL PI,59.396,2 Star,Franklin,016858,Community School,Open,K-5,
693,Horizon Science Academy Primary,1A,59.029,NR,Franklin,017123,Community School,Open,K-3,
694,Zenith Academy East,REAL PI,59.027,2 Star,Franklin,012009,Community School,Open,K-8,
697,Columbus Performance Academy,REAL PI,58.773,2 Star,Franklin,012011,Community School,Open,K-12,
701,Horizon Science Academy Columbus Middle School,REAL PI,58.604,2 Star,Franklin,009179,Community School,Open,6-8,
702,Great River Connections Academy,REAL PI,58.529,2 Star,Franklin,017233,Community School,Open,K-12,
703,Performance Academy Eastland,REAL PI,58.187,2 Star,Franklin,010182,Community School,Open,K-12,
705,South Columbus Preparatory Academy at German Village,REAL PI,57.848,2 Star,Franklin,016829,Community School,Open,K-8,
706,Columbus Bilingual Academy-North,REAL PI,57.746,2 Star,Franklin,011468,Community School,Open,K-8,
708,"Graham School, The",REAL PI,57.226,2 Star,Franklin,133421,Community School,Open,9-12,
